Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName,Class
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.3332522209458738,0.9811994390113564,-0.5878944286056076,0,42 Coin,0
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.31658787879948586,0.9807741857698961,-0.5882933592179417,0,404Coin,0
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.297126335506353,1.476943152147111,-0.677875323778626,0,EliteCoin,0
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14435387817098552,-1.2857190360049575,0.1973937729027359,3,Bitcoin,3
ETH,Ethash,PoW,107684222.6865,0.0,-0.1528095435369509,-1.9741146370215368,0.3973671249323365,3,Ethereum,3
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.1613395052203736,-1.1055649137854837,-0.00608177120737851,3,Litecoin,3
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.4039611677951102,1.1851272774784627,-0.5199357231287666,0,Dash,0
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.13081576317140356,-2.1274249990324354,0.38515207938813306,3,Monero,3
ETC,Ethash,PoW,113359703.0,210000000.0,-0.1512515445884594,-1.9742782092758033,0.3973494669076083,3,Ethereum Classic,3
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.16432765671233265,-2.045406626267336,0.4097330035322232,3,ZCash,3
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.262758266397189,0.7486453349211969,-0.11119834933022411,0,Bitshares,0
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.1618068174750638,-1.8204955649032033,0.34515228510436846,3,DigiByte,3
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3150970816699022,0.8009786483868678,-0.3844410407051055,0,BitcoinDark,0
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2692990317933703,0.6201890997675754,-0.04578892793893873,0,PayCoin,0
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16248588268979733,-1.1055152617517423,-0.006057563359173133,3,ProsperCoin,3
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.25704804724409414,1.7392218688433232,-0.6723416595628043,0,KoboCoin,0
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2334024685340522,-0.9015694766339846,0.061904106624789824,3,Spreadcoin,3
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.16210240525116307,-1.1055488102142008,-0.0060629743084794204,3,Argentum,3
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3329117631967516,0.981186193063979,-0.5879018559183401,0,Aurora Coin,0
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.32548810451933347,0.9811928026516871,-0.5881106696532348,0,BlueCoin,0
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09162255409905687,-1.8056000386231303,0.34988228816323147,3,MyriadCoin,3
MOON,Scrypt,PoW,88.0,384000000000.0,2.559400174710374,-1.4044940124145666,-0.034811243537652595,3,MoonCoin,3
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.1414384488461575,-1.2858364835843439,0.1973308083631986,3,ZetaCoin,3
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.15935752198280612,-1.1056948551825627,-0.006116629717962147,3,SexCoin,3
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.16190644461759765,-1.1055767903779434,-0.006064020474683555,3,Quatloo,3
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.3317485420627567,0.9811981537716459,-0.587936308081827,0,EnergyCoin,0
QRK,Quark,PoW,259557164.91477,247000000.0,-0.23034894424967212,-0.48167196159751924,0.07526728097062686,3,QuarkCoin,3
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.2002317258327572,-1.222316095644968,0.0775974433789924,3,Riecoin,3
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.16195515656397955,-1.1055367031376573,-0.006069015750357874,3,Digitalcoin ,3
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3332481570786216,0.9811990492831796,-0.5878944805226876,0,BitBar,0
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.1624681453104684,-1.1055152769127985,-0.006058057368946603,3,Catcoin,3
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.33323243618260523,0.9811986495586874,-0.5878948570984784,0,CryptoBullion,0
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.16255460684741885,-1.1055091305775606,-0.0060566124986462,3,CannaCoin,3
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.23349182535806054,-0.9015678551079691,0.0619063502431468,3,CryptCoin,3
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.705335554453807,0.34690688132114633,-0.3015870642109006,0,CasinoCoin,0
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3719081768338647,0.8644446713622569,-0.5042212575687729,0,Diamond,0
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.1855664663485604,-1.8170817818218785,0.3439458370105756,3,Verge,3
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.2335373481818538,-1.3022498703320247,0.18943985592391305,3,DevCoin,3
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.08620550104254561,-1.116141356860377,-0.01133217497696467,3,EarthCoin,3
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.1623008635650192,-1.1055154198971637,-0.006062716389630654,3,E-Gulden,3
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.15790570421166755,-1.1057345644876253,-0.006150962998585946,3,Einsteinium,3
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.1622401602124972,-1.1055239700980861,-0.006063059070443017,3,Emerald,3
EXCL,PoS,PoS,5679705.0,0.0,-0.3525260814577636,1.6240942237717133,-0.11589382494303163,0,Exclusive Coin,0
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.24312489365280726,0.39004034101635715,-0.2659989610625444,0,FlutterCoin,0
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.16261161822471154,-1.1055076107215112,-0.006055258002955998,3,Franko,3
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.1732219647461743,-1.5763566899985915,0.259405280542651,3,FeatherCoin,3
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.14183183335607186,-1.1066142179141325,-0.0064612919192957325,3,GrandCoin,3
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.1614065707169713,-1.1055540404243294,-0.006081618965668427,3,GlobalCoin,3
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.16168407449945485,-1.1055555381970448,-0.0060736149155570926,3,GoldCoin,3
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.3313108290527683,0.9811050707488582,-0.5879337936423739,0,HoboNickels,0
HYP,X11,PoS,1678520090.7713,0.0,-0.3379833994801156,1.0043301373851872,-0.18184717435726608,0,HyperStake,0
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.586512856455828,-1.1769892069863865,-0.04366956796515816,3,Infinite Coin,3
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.4038558463913883,1.1851271874548055,-0.5199386564709363,0,IOCoin,0
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.14431524020087716,-1.2857190690308267,0.19739269678350194,3,IXcoin,3
